station_code,longitude,value
50136,122.51,275
50136,122.5167,91
50137,122.38,275
50137,122.3833,91
50246,124.7167,91
50246,124.72,275
50247,123.5667,91
50247,123.57,275
50349,124.39,275
50349,124.4,91
50353,126.6333,91
50353,126.64,275
50425,120.18,275
50425,120.1833,91
50431,121.5167,91
50431,121.52,275
50434,121.68,275
50434,121.6833,91
50442,124.1167,91
50442,124.12,275
50445,123.73,275
50445,123.7333,91
50468,127.46,275
50468,127.4667,91
50514,117.3167,91
50514,117.32,275
50524,119.45,91
50524,119.46,275
50525,119.75,366
50526,120.7,366
50527,119.7,366
50548,123.7167,91
50548,123.72,275
50557,125.23,275
50557,125.2333,91
50564,127.33,274
50564,127.3333,91
50564,133.99,1
50566,128.48,275
50566,128.4833,91
50603,116.81,275
50603,116.8167,91
50618,118.2667,91
50618,118.27,275
50632,121.9167,91
50632,121.92,275
50639,122.73,275
50639,122.7333,91
50645,124.48,275
50645,124.4833,34
50646,124.88,275
50646,124.8833,91
50647,123.48,275
50647,123.4833,91
50655,126.1833,91
50655,126.19,275
50656,126.5,91
50656,126.51,275
50658,125.7833,91
50658,125.79,275
50659,126.2333,91
50659,126.24,275
50673,130.4,15
50673,130.4167,91
50673,130.42,260
50674,129.43,275
50674,129.4333,91
50727,119.93,275
50727,119.9333,91
50739,123.24,274
50739,123.25,91
50739,133.99,1
50741,123.5,366
50742,124.48,275
50742,124.4833,91
50745,123.9167,91
50745,123.92,275
50749,124.83,275
50749,124.8333,91
50750,125.29,275
50750,125.3,91
50755,126.0667,91
50755,126.07,275
50756,126.8667,91
50756,126.87,275
50758,125.89,275
50758,125.9,91
50767,127.1,366
50772,129.23,275
50772,129.2333,91
50774,128.8333,91
50774,128.84,275
50775,130.2,366
50776,130.83,275
50776,130.8333,91
50778,132.5333,91
50778,132.54,275
50779,134.4167,91
50779,134.42,275
50787,131.8333,91
50787,131.84,275
50788,132.0,366
50832,122.08,275
50832,122.0833,91
50833,122.88,275
50833,122.8833,91
50834,121.2167,91
50834,121.22,275
50838,122.05,366
50842,124.4167,91
50842,124.42,275
50844,123.45,366
50850,124.9833,91
50850,124.99,275
50851,126.08,275
50851,126.0833,91
50852,126.45,366
50853,126.9667,91
50853,126.97,275
50854,125.3167,91
50854,125.32,275
50858,125.8,91
50858,125.81,275
50859,126.28,275
50859,126.2833,91
50861,127.48,275
50861,127.4833,91
50862,127.98,275
50862,127.9833,91
50867,127.35,366
50871,129.88,275
50871,129.8833,91
50873,130.3,366
50877,129.58,275
50877,129.5833,91
50878,130.7167,91
50878,130.72,275
50879,130.55,91
50879,130.56,275
50880,131.11,275
50880,131.1167,91
50881,131.78,275
50884,131.15,366
50888,132.1667,91
50888,132.17,275
50892,133.99,275
50892,134.0,91
50913,118.83,275
50913,118.8333,91
50915,116.9667,91
50915,116.97,275
50924,119.65,366
50928,120.33,275
50928,120.3333,91
50934,121.58,275
50934,121.5833,91
50936,122.83,275
50936,122.8333,91
50937,121.48,275
50937,121.4833,91
50939,122.75,91
50939,122.76,275
50940,123.1667,91
50940,123.17,275
50945,124.2333,91
50945,124.24,275
50946,124.83,275
50946,124.8333,91
50948,124.0167,91
50948,124.02,275
50949,124.8667,91
50949,124.87,275
50950,125.25,366
50953,126.5667,91
50953,126.57,275
50954,125.08,275
50954,125.0833,91
50955,126.3167,91
50955,126.32,275
50956,126.7667,91
50956,126.77,275
50958,126.9333,91
50958,126.94,275
50960,127.38,275
50960,127.3833,91
50962,128.05,366
50963,128.73,275
50963,128.7333,91
50964,128.8,366
50965,128.28,275
50965,128.2833,91
50968,127.9667,91
50968,127.97,275
50971,130.98,275
50971,130.9833,91
