文件名,相关系数 (CC),偏差 (BIAS),均方根误差 (RMSE)
202001.npy,0.9470331884962953,45.36341037517641,60.37862748601459
202002.npy,0.934490379036119,42.366365960543945,56.7716487874239
202003.npy,0.9548095468474616,65.5596809183337,85.70938801931763
202004.npy,0.858342805372902,41.63747777569414,51.7616780905312
202005.npy,0.8205820277126997,69.61769053706821,86.17346364007457
202006.npy,0.8245159239636929,120.38261487678956,142.25265593992103
202007.npy,0.8612375752964596,85.28546072742348,121.02182170785942
202008.npy,0.8869714165569822,60.195394080885855,99.73292766910414
202009.npy,0.8365905729338535,57.699251724965606,76.11614360513016
202010.npy,0.8413315011508677,32.14658100358725,41.038989440106306
202011.npy,0.8820433749986176,16.46437083330524,24.676772887446585
202012.npy,0.6365563685215155,12.176668800747656,17.32745507783861
